"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16630","INS-008: Change text style of heading element to bold and verify the text style value","Acceptance Testing (0)","Tue Jun 25 06:34:59 GMT 2024","passed","Tue Jun 25 06:35:15 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeFontWeightOfHeadingElement"
"","33712","UR-003: User undo and redo when change the page template","Default Suite","Tue Jun 25 06:49:51 GMT 2024","failed","Tue Jun 25 06:50:25 GMT 2024","org.pftest.projects.testcases.UndoRedoTest","pfcompany","org.pftest.projects.testcases.UndoRedoTest","undoRedoChangePageTemplate"
"","26713","TC-009: Create a new blog post page from blank","Default Suite","Tue Jun 25 06:42:24 GMT 2024","passed","Tue Jun 25 06:42:51 GMT 2024","org.pftest.projects.testcases.PageEditingTest","pfcompany","org.pftest.projects.testcases.PageEditingTest","createNewBlogPostPageFromBlank"
"","40136","TC-097: User use Image element and set style","V4.11.0 Acceptance Testing","Tue Jun 25 06:26:28 GMT 2024","passed","Tue Jun 25 06:27:08 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","useImageElementAndSetStyle"
"","15618","TC-067: User open Browser help center","V4.11.0 Acceptance Testing","Tue Jun 25 06:18:34 GMT 2024","passed","Tue Jun 25 06:18:50 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","openBrowserHelpCenter"
"","35296","UR-001: User undo when change the heading element in template page","Acceptance Testing (1)","Tue Jun 25 06:38:03 GMT 2024","passed","Tue Jun 25 06:38:38 GMT 2024","org.pftest.projects.testcases.UndoRedoTest","Undo Redo","org.pftest.projects.testcases.UndoRedoTest","undoChangeTextContentOfHeadingElement"
"","31999","TC-015: User delete page in the Page listing screen","V4.11.5 Basic UAT","Tue Jun 25 06:30:00 GMT 2024","passed","Tue Jun 25 06:30:32 GMT 2024","org.pftest.projects.testcases.PageListingTest","Page Listing","org.pftest.projects.testcases.PageListingTest","deletePageInThePageListingScreen"
"","19670","TC-012: User publish page in the Page listing screen","V4.11.5 Basic UAT","Tue Jun 25 06:29:13 GMT 2024","passed","Tue Jun 25 06:29:33 GMT 2024","org.pftest.projects.testcases.PageListingTest","Page Listing","org.pftest.projects.testcases.PageListingTest","publishPageInThePageListingScreen"
"","24306","INS-009: Change font weight of heading element and verify the font weight value","Default Suite","Tue Jun 25 06:47:11 GMT 2024","passed","Tue Jun 25 06:47:35 GMT 2024","org.pftest.projects.testcases.PageEditingTest","pfcompany","org.pftest.projects.testcases.PageEditingTest","changeFontWeightOfHeadingElement2"
"","23343","INS-013: Change background color of heading element and verify the background color value","Acceptance Testing (0)","Tue Jun 25 06:36:35 GMT 2024","passed","Tue Jun 25 06:36:59 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeBackgroundColorOfHeadingElement"
"","15807","TC-069: User Join PageFly community","V4.11.0 Acceptance Testing","Tue Jun 25 06:19:06 GMT 2024","passed","Tue Jun 25 06:19:21 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","joinPageFlyCommunity"
"","16773","INS-008: Change text style of heading element to italic and verify the text style value","Acceptance Testing (0)","Tue Jun 25 06:34:41 GMT 2024","passed","Tue Jun 25 06:34:57 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeTextStyleOfHeadingElement"
"","21632","INS-011: Change letter spacing of heading element and verify the letter spacing value","Acceptance Testing (0)","Tue Jun 25 06:35:53 GMT 2024","passed","Tue Jun 25 06:36:15 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeLetterSpacingOfHeadingElement"
"","18238","INS-005: Change font size of heading element by slider and verify the font size value","Acceptance Testing (0)","Tue Jun 25 06:33:29 GMT 2024","passed","Tue Jun 25 06:33:47 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeFontSizeOfHeadingElementBySlider"
"","31670","TC-013: Create a new home page from blank when there is no home page is published","V4.11.0 Acceptance Testing","Tue Jun 25 06:08:56 GMT 2024","passed","Tue Jun 25 06:09:28 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","createNewHomePageFromBlankWhenNoHomePagePublished"
"","17127","TC-057: User unpublished page","V4.11.0 Acceptance Testing","Tue Jun 25 06:17:41 GMT 2024","passed","Tue Jun 25 06:17:59 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","unpublishedPage"
"","21438","TC-050: User enable autosave when have saved page","V4.11.0 Acceptance Testing","Tue Jun 25 06:17:19 GMT 2024","passed","Tue Jun 25 06:17:40 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","enableAutoSaveWhenHaveSavedPage"
"","15896","TC-072: User use device has width less than 1024px","Default Suite","Tue Jun 25 06:45:55 GMT 2024","failed","Tue Jun 25 06:46:11 GMT 2024","org.pftest.projects.testcases.PageEditingTest","pfcompany","org.pftest.projects.testcases.PageEditingTest","useDeviceHasWidthLessThan1024px"
"","34053","UR-002: User undo and redo in template page","Default Suite","Tue Jun 04 02:30:33 GMT 2024","passed","Tue Jun 04 02:31:07 GMT 2024","org.pftest.projects.testcases.UndoRedoTest","pfcompany","org.pftest.projects.testcases.UndoRedoTest","undoRedoChangeTextContentOfHeadingElement"
"","44134","TC-089: User use Heading element and set style","V4.11.0 Acceptance Testing","Tue Jun 25 06:22:42 GMT 2024","passed","Tue Jun 25 06:23:26 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","useHeadingElementAndSetStyle"
"","31233","TC-010: Create a new blog post page from template","Default Suite","Tue Jun 25 06:42:52 GMT 2024","passed","Tue Jun 25 06:43:24 GMT 2024","org.pftest.projects.testcases.PageEditingTest","pfcompany","org.pftest.projects.testcases.PageEditingTest","createNewBlogPostPageFromTemplate"
"","16212","INS-004: Change font family of heading element and verify the font family value","Acceptance Testing (0)","Tue Jun 25 06:33:12 GMT 2024","passed","Tue Jun 25 06:33:28 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeFontFamilyOfHeadingElement"
"","14617","TC-016: User export the selected page in the Page listing screen","V4.11.5 Basic UAT","Tue Jun 25 06:30:33 GMT 2024","passed","Tue Jun 25 06:30:48 GMT 2024","org.pftest.projects.testcases.PageListingTest","Page Listing","org.pftest.projects.testcases.PageListingTest","exportSelectedPageInThePageListingScreen"
"","21516","INS-010: Change line height of paragraph element and verify the line height value","Acceptance Testing (0)","Tue Jun 25 06:35:31 GMT 2024","passed","Tue Jun 25 06:35:52 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeLineHeightOfHeadingElement"
"","23065","INS-019: Change opacity of paragraph element and verify the opacity value","Acceptance Testing (0)","Tue Jun 25 06:37:39 GMT 2024","passed","Tue Jun 25 06:38:02 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeOpacityOfParagraphElement"
"","35383","TC-023: User back from editor to page listing screen by click Back button in the Editor header when page is saved manually","V4.11.0 Acceptance Testing","Tue Jun 25 06:15:46 GMT 2024","passed","Tue Jun 25 06:16:21 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","backFromEditorToPageListingScreen_clickBackButton2"
"","16202","TC-063: User go to theme editor when page is published","V4.11.0 Acceptance Testing","Tue Jun 25 06:18:17 GMT 2024","passed","Tue Jun 25 06:18:33 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","goToThemeEditorWhenPageIsPublished"
"","15617","INS-006: Change text alignment of heading element and verify the text alignment value","Acceptance Testing (0)","Tue Jun 25 06:34:07 GMT 2024","passed","Tue Jun 25 06:34:23 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeTextAlignmentOfHeadingElement"
"","24751","User duplicate page in the Page listing screen","V4.11.5 Basic UAT","Tue Jun 25 06:29:34 GMT 2024","passed","Tue Jun 25 06:29:59 GMT 2024","org.pftest.projects.testcases.PageListingTest","Page Listing","org.pftest.projects.testcases.PageListingTest","duplicatePageInThePageListingScreen"
"","58671","TC-085: User use Layout element and set Row style","V4.11.0 Acceptance Testing","Tue Jun 25 06:21:42 GMT 2024","passed","Tue Jun 25 06:22:40 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","useLayoutElementAndSetRowStyle"
"","36172","TC-024: User back from editor to page listing screen by click Back button in Editor header when autosave is enabled","Default Suite","Tue Jun 25 06:45:18 GMT 2024","passed","Tue Jun 25 06:45:54 GMT 2024","org.pftest.projects.testcases.PageEditingTest","pfcompany","org.pftest.projects.testcases.PageEditingTest","backFromEditorToPageListingScreen_clickBackButton3"
"","17125","INS-018: Change display style of heading element and verify the display style value","Acceptance Testing (0)","Tue Jun 25 06:37:20 GMT 2024","passed","Tue Jun 25 06:37:38 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeDisplayStyleOfHeadingElement"
"","28344","TC-038: User select option ""Show Canvas size"" and ""Fit viewport"" then close editor then open editor again","V4.11.0 Acceptance Testing","Tue Jun 25 06:16:27 GMT 2024","passed","Tue Jun 25 06:16:56 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","showCanvasSizeAndFitViewport"
"","13665","TC-068: User open Live chat box","V4.11.0 Acceptance Testing","Tue Jun 25 06:18:51 GMT 2024","passed","Tue Jun 25 06:19:05 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","openLiveChatBox"
"","48383","TC-011: Create a new regular/password page from blank","Default Suite","Tue Jun 25 06:43:25 GMT 2024","passed","Tue Jun 25 06:44:13 GMT 2024","org.pftest.projects.testcases.PageEditingTest","pfcompany","org.pftest.projects.testcases.PageEditingTest","createNewRegularPasswordPageFromBlank"
"","20499","TC-004: Open page editor by Search bar in the Dashboard screen","V4.11.0 Acceptance Testing","Tue Jun 25 06:04:42 GMT 2024","passed","Tue Jun 25 06:05:02 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","openPageEditorBySearchBarInDashboardScreen"
"","18585","INS-001: Change heading content color to random color and verify the color value","Acceptance Testing (0)","Tue Jun 25 06:32:13 GMT 2024","passed","Tue Jun 25 06:32:32 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeContentColorToRandomColor"
"","47226","TC-019: User select option ""Don't remind me again"" in the modal ""Publish page"" for HOME page","V4.11.0 Acceptance Testing","Tue Jun 25 06:11:35 GMT 2024","passed","Tue Jun 25 06:12:22 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","dontRemindPublishHomePage"
"","10623","sampleTest","Default Suite","Mon May 27 04:45:14 GMT 2024","passed","Mon May 27 04:45:24 GMT 2024","org.pftest.projects.testcases.SampleTest","pfcompany","org.pftest.projects.testcases.SampleTest","sampleTest"
"","15691","TC-062: User go to theme editor when page is unpublished","V4.11.0 Acceptance Testing","Tue Jun 25 06:18:00 GMT 2024","passed","Tue Jun 25 06:18:15 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","goToThemeEditorWhenPageIsUnpublished"
"","15258","TC-002: Open page editor in the Dashboard screen","V4.11.0 Acceptance Testing","Tue Jun 25 06:04:10 GMT 2024","passed","Tue Jun 25 06:04:25 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","openPageEditorInDashboardScreen"
"","18971","INS-003: Change margin value of heading element and verify the margin value","Acceptance Testing (0)","Tue Jun 25 06:32:52 GMT 2024","passed","Tue Jun 25 06:33:10 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeMarginValueOfHeadingElement"
"","57346","TC-012: Create a new regular/password page from template","V4.11.0 Acceptance Testing","Tue Jun 25 06:07:58 GMT 2024","passed","Tue Jun 25 06:08:55 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","createNewRegularPasswordPageFromTemplate"
"","35102","TC-011: User create new template PRODUCT page from the Page listing screen","V4.11.5 Basic UAT","Tue Jun 25 06:28:21 GMT 2024","passed","Tue Jun 25 06:28:56 GMT 2024","org.pftest.projects.testcases.PageListingTest","Page Listing","org.pftest.projects.testcases.PageListingTest","createNewTemplateProductPage"
"","63123","TC-020: User select option ""Don't remind me again"" in the modal ""Enable autosave?""","V4.11.0 Acceptance Testing","Tue Jun 25 06:14:09 GMT 2024","passed","Tue Jun 25 06:15:12 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","dontRemindEnableAutoSave"
"","43275","TC-090: User use Heading element and enable auto save","Default Suite","Tue Jun 25 06:46:26 GMT 2024","passed","Tue Jun 25 06:47:10 GMT 2024","org.pftest.projects.testcases.PageEditingTest","pfcompany","org.pftest.projects.testcases.PageEditingTest","useHeadingElementWhenEnableAutoSave"
"","24645","TC-014: Create a new home page from blank when there is a home page is published","V4.11.0 Acceptance Testing","Tue Jun 25 06:09:29 GMT 2024","passed","Tue Jun 25 06:09:54 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","createNewHomePageFromBlankWhenHomepageIsPublished"
"","16286","TC-017: User export all pages in the Page listing screen","V4.11.5 Basic UAT","Tue Jun 25 06:58:31 GMT 2024","passed","Tue Jun 25 06:58:47 GMT 2024","org.pftest.projects.testcases.PageListingTest","Page Listing","org.pftest.projects.testcases.PageListingTest","exportAllPagesInThePageListingScreen"
"","19523","INS-014: Change border style of heading element and verify the border style value","Acceptance Testing (0)","Tue Jun 25 06:37:00 GMT 2024","passed","Tue Jun 25 06:37:19 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeBorderStyleOfHeadingElement"
"","76233","TC-095: User use Button element and set style","V4.11.0 Acceptance Testing","Tue Jun 25 06:25:10 GMT 2024","passed","Tue Jun 25 06:26:27 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","useButtonElementAndSetStyle"
"","18157","INS-012: Change text transform of heading element and verify the text transform value","Acceptance Testing (0)","Tue Jun 25 06:36:16 GMT 2024","passed","Tue Jun 25 06:36:34 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeTextTransformOfHeadingElement"
"","49395","UR-005: User undo and redo when change the layout element styles","Default Suite","Tue Jun 25 06:50:26 GMT 2024","passed","Tue Jun 25 06:51:16 GMT 2024","org.pftest.projects.testcases.UndoRedoTest","pfcompany","org.pftest.projects.testcases.UndoRedoTest","undoRedoChangeLayoutElementStyles"
"","20903","TC-049: User enable autosave when haven't saved page","V4.11.0 Acceptance Testing","Tue Jun 25 06:16:57 GMT 2024","passed","Tue Jun 25 06:17:18 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","enableAutoSaveWhenHaventSavedPage"
"","20508","TC-017: User select option ""Don't remind me again"" in the modal ""Enable autosave?""","V4.11.0 Acceptance Testing","Tue Jun 25 06:09:55 GMT 2024","passed","Tue Jun 25 06:10:16 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","saveNewPageFromBlank_selectDontRemindEnableAutoSave"
"","66887","TC-019: User select option ""Don't remind me again"" in the modal ""Publish page"" for COLLECTION page","V4.11.0 Acceptance Testing","Tue Jun 25 06:13:01 GMT 2024","passed","Tue Jun 25 06:14:08 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","dontRemindPublishCollectionPage"
"","62744","TC-084: User use Layout element and set Column style","V4.11.0 Acceptance Testing","Tue Jun 25 06:20:38 GMT 2024","passed","Tue Jun 25 06:21:40 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","useLayoutElementAndSetColumnStyle"
"","25462","TC-017: Create a new section from blank","Default Suite","Tue Jun 25 06:47:37 GMT 2024","passed","Tue Jun 25 06:48:02 GMT 2024","org.pftest.projects.testcases.SectionListingTest","pfcompany","org.pftest.projects.testcases.SectionListingTest","createSectionFromBlank"
"","17461","TC-070: User Watch video tutorials","V4.11.0 Acceptance Testing","Tue Jun 25 06:19:23 GMT 2024","passed","Tue Jun 25 06:19:40 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","watchVideoTutorials"
"","17641","INS-002: Change padding value of heading element and verify the padding value","Acceptance Testing (0)","Tue Jun 25 06:32:33 GMT 2024","passed","Tue Jun 25 06:32:50 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changePaddingValueOfHeadingElement"
"","42121","TC-093: User use Paragraph element and enable auto save","V4.11.0 Acceptance Testing","Tue Jun 25 06:24:27 GMT 2024","passed","Tue Jun 25 06:25:09 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","useParagraphElementWhenEnableAutoSave"
"","13239","TC-001: Open page editor in the Page Listing screen","V4.11.0 Acceptance Testing","Tue Jun 25 06:03:56 GMT 2024","passed","Tue Jun 25 06:04:09 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","openPageEditorInPageListingScreen"
"","17178","INS-005: Change font size of heading element by input and verify the font size value","Acceptance Testing (0)","Tue Jun 25 06:33:48 GMT 2024","passed","Tue Jun 25 06:34:06 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeFontSizeOfHeadingElementByInput"
"","21933","TC-018: Create a new section from template","V4.11.0 Acceptance Testing","Tue Jun 25 07:28:51 GMT 2024","failed","Tue Jun 25 07:29:13 GMT 2024","org.pftest.projects.testcases.SectionListingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.SectionListingTest","createSectionFromTemplate"
"","46300","UR-002: User undo and redo in template page","Acceptance Testing (1)","Tue Jun 25 06:38:40 GMT 2024","passed","Tue Jun 25 06:39:26 GMT 2024","org.pftest.projects.testcases.UndoRedoTest","Undo Redo","org.pftest.projects.testcases.UndoRedoTest","undoRedoInTemplatePage"
"","68462","UR-004: User restore a previous version of a page","Default Suite","Tue Jun 25 06:51:17 GMT 2024","failed","Tue Jun 25 06:52:25 GMT 2024","org.pftest.projects.testcases.UndoRedoTest","pfcompany","org.pftest.projects.testcases.UndoRedoTest","restorePreviousVersion"
"","15658","TC-022: User back from editor to page listing screen by click Back button in the browser navigator when page is not saved","V4.11.0 Acceptance Testing","Tue Jun 25 06:15:29 GMT 2024","passed","Tue Jun 25 06:15:45 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","backFromEditorToPageListingScreen_navigateBack"
"","37973","TC-092: User use Paragraph element and set style","V4.11.0 Acceptance Testing","Tue Jun 25 06:23:48 GMT 2024","passed","Tue Jun 25 06:24:26 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","useParagraphElementAndSetStyle"
